Apelido,Passe Certo,Passe Errado,Interceptação,Chute Gol,Chute Fora,Chute Bloq,Bloqueio,Chute Trave,Drible Certo,Drible Sofrido,Drible Errado,Drible Evitado,Dividida Ganha,Dividida Perdida,Desarme,Fair Play,Falta Feita,Falta Sofrida,Penalti Feito,Penalti Sofrido,Gol Penalti,Penalti Perdido,Mão,Perda de Bola,Gol Perdido,Falha na Defesa,Assist,Gol,Pifada,Lança,Lança Errado
IR,33,,8,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,3
LL,31,9,9,2,2,2,5,,2,,1,1,,1,1,,,,,,,,,2,1,2,,1,1,1,2
RN,48,8,10,3,1,3,1,,4,,,,,,3,,,1,,,,,,1,,,,3,1,2,1
RK,29,3,10,5,1,4,12,,,,1,1,,,1,,,1,,,,,,1,1,2,,,1,,1
SW,22,6,6,1,2,,1,,,,,1,,1,1,,,,,,,,,1,1,4,,,,1,
TA,51,7,18,5,3,5,3,1,2,5,2,1,1,1,1,,,1,,,,,,2,3,4,2,2,3,,1
VR,34,12,11,3,7,4,8,,8,4,7,1,,,1,,,,,,,,,8,1,2,,2,3,1,9
PC,42,1,5,,1,,,,,,,,,,,,,,,,,,,,,1,,,,2,6
AF,18,4,9,2,2,2,2,,,2,,2,,,1,,,,,,,,,3,,2,1,,1,,
DJ,81,17,10,6,6,7,6,1,2,5,,5,2,1,2,,,,,,,,,2,2,1,2,1,1,1,3
FR,50,10,11,10,2,6,4,,5,3,2,,,,1,,1,,,,,,1,3,1,1,,4,1,,1
RM,55,17,9,4,5,8,2,1,3,1,2,,1,,,,1,,,,,,1,2,1,2,2,1,4,,1
GB,37,10,2,3,1,1,4,1,,1,,1,,,1,1,1,,,,,,,2,,2,1,3,1,,2
RB,29,2,1,1,3,6,1,,,3,1,1,,,1,,,,,,,,,4,,1,1,,1,,2
