Apelido,Passe Certo,Passe Errado,Interceptação,Chute Gol,Chute Fora,Chute Bloq,Bloqueio,Chute Trave,Drible Certo,Drible Sofrido,Drible Errado,Drible Evitado,Dividida Ganha,Dividida Perdida,Desarme,Fair Play,Falta Feita,Falta Sofrida,Penalti Feito,Penalti Sofrido,Gol Penalti,Penalti Perdido,Mão,Perda de Bola,Gol Perdido,Falha na Defesa,Assist,Gol,Pifada,Lança,Lança Errado
IR,29,6,4,,5,,,,,,,,,,,,,,,,,,,,,,,,,7,8
XJ,53,6,12,4,2,5,7,1,6,1,,,,1,1,,,,,,,,,3,1,,1,,3,1,
AF,17,13,12,2,2,1,1,,,,,1,,1,,,,,,,,,,5,,6,,,,,
GS,46,6,12,4,4,4,2,,8,,1,,3,2,2,1,,,,,,,,5,,1,1,1,3,,
NJ,17,10,5,3,3,2,1,,,,1,,1,,,,,,,,,,,2,1,,,,,1,
VR,29,13,11,8,4,8,6,2,10,1,3,1,4,1,4,,1,1,,,,,,3,2,,,2,5,1,6
RB,28,9,15,4,5,5,5,,,,1,1,,,,,,,,,,,,1,2,1,,,,,1
GX,41,5,3,1,4,2,,,,2,,,,,,,,,,,,,,,,1,,,,8,3
AZ,36,17,14,4,3,3,6,,,6,1,1,1,3,1,,,,,,,,1,4,1,,,2,,1,3
DJ,63,20,11,,3,8,6,,,6,1,2,1,3,2,,,,,,,,1,1,,1,2,,5,1,1
RK,23,3,4,1,1,2,6,,,1,2,,,1,,,,,,,,,,2,,2,,,,,1
SW,18,14,5,2,4,,2,,,6,,,,,1,,,,,,,,,3,1,2,,1,1,,3
TA,44,9,8,4,2,5,2,,1,3,1,1,3,,1,,1,1,,,,,1,4,2,1,,,,,
TD,22,7,15,3,3,2,3,,1,,,1,,1,1,,,,,,,,,2,,1,,,,1,1
